Leberstatus	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose
Bacteria|Deinococcus-Thermus|Deinococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	2	0
Bacteria|Euryarchaeota|Methanobacteria	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	48	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	12	20	0	6	159	1	67	41	0	12	7	8	35	260	7	62	0	0	1	13	2	13	431	0	8	0	26	15	0	4	0	0
Bacteria|Firmicutes|Bacilli	671	26	33	101	94	87	259	238	4546	71	11	709	1005	240	266	231	135	29	10103	900	300	483	20747	39	1057	418	651	340	58	168	1997	19
Bacteria|Firmicutes|Clostridia	35211	1160	2589	31166	17524	21937	19486	6855	25521	20597	13394	21317	11869	20047	49288	27196	51	7182	22505	24530	18219	6645	15466	30001	376	7637	6046	27947	41337	59987	28338	13171
Bacteria|Firmicutes|Erysipelotrichi	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia	217	9	87	2028	4466	17	1523	2231	491	1979	6	463	101	511	161	1661	1	593	282	13474	863	349	13	444	42	25	207	237	63	365	370	865
Bacteria|Firmicutes|Negativicutes	12010	5747	32	27600	14814	13140	2095	657	8320	10252	4270	6053	9959	36467	14856	22481	24703	42722	4862	1164	911	51805	34828	1420	85637	3682	11300	37033	17357	9879	15490	30669
Bacteria|Firmicutes|unclassified-Firmicutes	1	0	0	302	94	163	187	0	0	0	0	0	0	0	479	573	1	1	0	0	3	0	0	5	2	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia	26	4	0	21	3	30	0	0	0	7	0	1	46	1	6	22	1	0	115	33	70	94	1970	18	9	1	43	11	0	1	0	0
Bacteria|Lentisphaerae|Lentisphaeria	0	0	0	0	0	4	10	0	0	0	0	3	0	97	1	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	458	18	1059	233	112	563	915	80	1241	525	39	548	21567	2617	306	137	86	201	10	698	839	84	7	363	171	226	495	526	220	1474	620	442
Bacteria|Proteobacteria|Betaproteobacteria	87	4	118	241	313	626	587	26	162	210	71	167	3139	475	151	623	5	35	52	219	210	1490	4148	154	26	914	65	1502	131	1456	1556	1987
Bacteria|Proteobacteria|Deltaproteobacteria	3	0	20	17	4	20	48	8	7	44	2	12	75	10	4	16	0	7	0	5	0	2	0	6	64	0	8	8	0	10	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria	101	3	1	1	0	5	1	0	2	0	0	5	72	0	1	5	0	0	28	1	6	7	25	0	4	2	37	3	0	0	6	1
Bacteria|Proteobacteria|Gammaproteobacteria	1362	63	567	2862	23432	298	29	1503	609	30	313	126	1254	280	5	2676	1698	18	408	1975	72	1423	5702	173	4844	258	7028	8605	2364	106	1442	166
Bacteria|Spirochaetes|Spirochaetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia	0	0	0	0	0	3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified|unclassified-Bacteria	15	0	0	2	1258	4	0	0	6	0	0	0	2	0	0	97	2	33	13	0	109	10	1	0	0	12	17	13	0	3	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae	120	25482	57702	1094	0	4800	25441	552	11800	1	1675	7	19	13	3904	9	16	1	1	8	15	702	3	143	13	0	6	9	3926	1278	4	9123
